"var1","var2","r"
"svy_strata","svy_id",0.990366272994322
"YEAR","svy_id",0.993980246944007
"Survey_Year","svy_id",0.984180402517022
"SDDSRVYR","svy_id",0.992059028605476
"SDMVSTRA","svy_id",0.988406389914882
"Begin_Year","svy_id",0.984180402517022
"WTINT2YR","svy_weight_mec",0.997209414610491
"WTMEC2YR","svy_weight_mec",1
"SDMVPSU","svy_psu",1
"YEAR","svy_strata",0.994345923971067
"Survey_Year","svy_strata",0.98877545547496
"SDDSRVYR","svy_strata",0.99234526567011
"SDMVSTRA","svy_strata",1
"Begin_Year","svy_strata",0.98877545547496
"RIDAGEYR","demo_age_years",0.998922199186035
"BPXSY1","bp_sys_mean",0.978221109278872
"BPXSY2","bp_sys_mean",0.983942445575101
"BPXSY3","bp_sys_mean",0.978790345889558
"LBXSCH","chol_total",0.983911849805823
"LBXTC","chol_total",1
"LBDHDL","chol_hdl",1
"LBDSTRSI","chol_trig",0.982250986454166
"LBDLDL","chol_ldl",0.999142459563108
"FriedewaldLDL","chol_ldl",0.997557927343857
"ldl_corrected","chol_ldl",1
"LBXGH","cc_hba1c",1
"Survey_Year","YEAR",1
"SDDSRVYR","YEAR",1
"SDMVSTRA","YEAR",0.994345923971067
"Begin_Year","YEAR",1
"LBXTC","LBXSCH",0.983911849805823
"LBXHCT","LBXHGB",0.964663612921798
"SDDSRVYR","Survey_Year",1
"SDMVSTRA","Survey_Year",0.994345923971067
"Begin_Year","Survey_Year",1
"SDMVSTRA","SDDSRVYR",0.99234526567011
"Begin_Year","SDDSRVYR",1
"WTMEC2YR","WTINT2YR",0.997209414610491
"Begin_Year","SDMVSTRA",0.994345923971067
"FriedewaldLDL","LBDLDL",0.998180406188268
"ldl_corrected","LBDLDL",0.999142459563108
"ldl_corrected","FriedewaldLDL",0.997557927343857
