"var1","var2","r"
"svy_strata","svy_id",0.990252827679747
"YEAR","svy_id",0.993917134270336
"Survey_Year","svy_id",0.984449571042028
"SDDSRVYR","svy_id",0.991926267891942
"SDMVSTRA","svy_id",0.987899680957051
"Begin_Year","svy_id",0.984449571042028
"WTINT2YR","svy_weight_mec",0.997101921189364
"WTMEC2YR","svy_weight_mec",1
"SDMVPSU","svy_psu",1
"YEAR","svy_strata",0.994114559340594
"Survey_Year","svy_strata",0.988494944200462
"SDDSRVYR","svy_strata",0.992095471987815
"SDMVSTRA","svy_strata",1
"Begin_Year","svy_strata",0.988494944200462
"RIDAGEYR","demo_age_years",0.998944140605973
"BPXSY1","bp_sys_mean",0.979264082753551
"BPXSY2","bp_sys_mean",0.984838711424832
"BPXSY3","bp_sys_mean",0.97963855888654
"chol_ldl","chol_total",0.974538727057323
"LBXSCH","chol_total",0.985892195965547
"LBXTC","chol_total",1
"LBDHDL","chol_total",-1
"LBDLDL","chol_total",0.972951455023207
"FriedewaldLDL","chol_total",1
"ldl_corrected","chol_total",0.974538727057323
"LBDHDL","chol_hdl",1
"FriedewaldLDL","chol_hdl",-1
"LBDSTRSI","chol_trig",0.965751182829897
"LBDHDL","chol_trig",-1
"FriedewaldLDL","chol_trig",1
"LBXSCH","chol_ldl",0.969372506426635
"LBXTC","chol_ldl",0.974538727057323
"LBDHDL","chol_ldl",-1
"LBDLDL","chol_ldl",0.999562676083231
"FriedewaldLDL","chol_ldl",1
"ldl_corrected","chol_ldl",1
"LBDHDL","chol_nonhdl",-1
"LBDLDL","chol_nonhdl",0.963704527973485
"FriedewaldLDL","chol_nonhdl",1
"LBXGH","cc_hba1c",1
"Survey_Year","YEAR",1
"SDDSRVYR","YEAR",1
"SDMVSTRA","YEAR",0.994114559340594
"Begin_Year","YEAR",1
"LBXTC","LBXSCH",0.985092533088197
"BPXSY3","BPXSY2",0.952042416013365
"LBXHCT","LBXHGB",0.963712023172249
"SDDSRVYR","Survey_Year",1
"SDMVSTRA","Survey_Year",0.994114559340594
"Begin_Year","Survey_Year",1
"SDMVSTRA","SDDSRVYR",0.992095471987815
"Begin_Year","SDDSRVYR",1
"WTMEC2YR","WTINT2YR",0.997101921189364
"Begin_Year","SDMVSTRA",0.994114559340594
"LBDLDL","LBDHDL",-1
"FriedewaldLDL","LBDLDL",1
"ldl_corrected","LBDLDL",0.999984703119591
"ldl_corrected","FriedewaldLDL",0.999998589646815
