"Variable","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-2.28752378485821,0.190796602206155,-11.9893318770245,4.88929663427318e-22
"chol_trig:phaseFalling",0.00170452927122692,0.000600214534855993,2.83986670138851,0.00533126426097483
"chol_trig:phaseRising",0.000882188002065319,0.000379782150052341,2.3228790556474,0.0219286481485642
"phaseFalling:LBDSPH",0.41811121140564,0.134406317341108,3.11080029329665,0.00234871804293323
"phaseRising:LBDSPH",-0.135286339999044,0.0775956506366248,-1.74347838943424,0.0838995370518034
"phaseFalling:LBDSCR",0.000844918402695057,0.000754415685964072,1.11996399122498,0.265042628813334
"phaseRising:LBDSCR",0.000713929733301816,0.00100527293000977,0.71018497762083,0.479014728231611
"phaseFalling:cc_egfr_lt60Yes",0.66574344295097,0.213790171114467,3.11400397633117,0.00232533226443744
"phaseRising:cc_egfr_lt60Yes",0.462599725022414,0.145025396076451,3.18978425529383,0.00183135327920756
"phaseFalling:cc_acr_gteq30Yes",-0.713338010638757,0.158417347078665,-4.50290339911158,1.60587118766603e-05
"phaseRising:cc_acr_gteq30Yes",-0.382962572802315,0.107977055237528,-3.54670325061072,0.000563830100122471
"phaseFalling:demo_age_cat45 to 64",0.940004966054189,0.167433488767465,5.61419924397375,1.36966917224124e-07
"phaseRising:demo_age_cat45 to 64",1.10731508607613,0.122888408886953,9.01073661955182,4.91087953952828e-15
"phaseFalling:demo_age_cat65 to 74",0.988988611641001,0.188643500182529,5.24263285341965,7.19482658275424e-07
"phaseRising:demo_age_cat65 to 74",1.20372369830332,0.13488386781202,8.92414873497608,7.8107754831353e-15
"phaseFalling:demo_age_cat75+",0.540275232795475,0.248572367426924,2.17351284210746,0.0317740560362899
"phaseRising:demo_age_cat75+",0.744823411996274,0.152572446220164,4.88176882817678,3.38889511538516e-06
"phaseFalling:demo_raceNon-Hispanic Asian",-0.247903325153018,0.209608068452746,-1.18269934446205,0.239346773856246
"phaseRising:demo_raceNon-Hispanic Asian",0.075148407445242,0.378728598964012,0.198422848580238,0.843061577305676
"phaseFalling:demo_raceNon-Hispanic Black",-0.0961203551417041,0.147390038362286,-0.652149603933472,0.515594829622968
"phaseRising:demo_raceNon-Hispanic Black",0.440331076627195,0.159310716544477,2.76397649937292,0.00664362285962536
"phaseFalling:demo_raceNon-Hispanic White",0.424244846216075,0.135517731653719,3.13054860820815,0.00220796287870412
"phaseRising:demo_raceNon-Hispanic White",0.645749586708256,0.133849976504394,4.82442809160343,4.30944762889687e-06
"phaseFalling:demo_raceOther",0.609832700800195,0.271527668221307,2.24593208049485,0.0266020308799486
"phaseRising:demo_raceOther",0.357120405554459,0.216495016154497,1.64955485764904,0.101739461694746
"phaseFalling:htn_resistant_jnc7Yes",-1.09510137921146,0.337732304841353,-3.24251297111147,0.00154731067768966
"phaseRising:htn_resistant_jnc7Yes",-1.32471729318281,0.345021674333878,-3.83951905555034,0.000201336483797971
"phaseFalling:htn_resistant_jnc7_thzYes",0.228258999326696,0.424585477999589,0.537604348604022,0.591880092019417
"phaseRising:htn_resistant_jnc7_thzYes",0.701169866761678,0.385342686406936,1.81960081635289,0.0713987183052055
"phaseFalling:chol_nonhdl_5cat>= 220 mg/dL",-1.26850909157174,0.363116738360127,-3.49339195240753,0.000676002581025925
"phaseRising:chol_nonhdl_5cat>= 220 mg/dL",-1.66125177401491,0.288801717121693,-5.75222263417121,7.28554928584356e-08
"phaseFalling:chol_nonhdl_5cat100 to <130 mg/dL",-0.275657253718927,0.121303749966657,-2.27245451022494,0.0249010588082695
"phaseRising:chol_nonhdl_5cat100 to <130 mg/dL",-0.411876241141679,0.158178891307759,-2.60386349743922,0.0104228961965251
"phaseFalling:chol_nonhdl_5cat130 to <160 mg/dL",-0.859154617739331,0.176978822371352,-4.85456172793704,3.79898590927078e-06
"phaseRising:chol_nonhdl_5cat130 to <160 mg/dL",-0.494284347655472,0.152943611684859,-3.23180773757289,0.00160142226010968
"phaseFalling:chol_nonhdl_5cat160 to <220 mg/dL",-0.855271533669369,0.182950235469021,-4.67488621414863,8.00040293684296e-06
"phaseRising:chol_nonhdl_5cat160 to <220 mg/dL",-0.915333194447157,0.155250534769059,-5.89584567814047,3.74668606246552e-08
"phaseFalling:chol_med_rosuvastatinYes",0.793386305596301,0.249307919784912,3.18235500212262,0.00187506881132304
"phaseRising:chol_med_rosuvastatinYes",0.353702687691803,0.292328150371175,1.20995082835061,0.228757667140433
"phaseFalling:chol_med_addon_useYes",-1.30974816442942,0.638520509313608,-2.05122332849945,0.0424974040585625
"phaseRising:chol_med_addon_useYes",0.61684841348712,0.310374138537259,1.98743495960785,0.0492304261512218
"phaseFalling:cc_diabetesYes",0.265390880173606,0.131238552209457,2.02220213272424,0.0454560836632823
"phaseRising:cc_diabetesYes",0.633795440666843,0.103095238589451,6.14766937191698,1.14547727150167e-08
